Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
1350,20070611,20240422,48,52.0997,13.0016,entreu,Brandenburg
1357,20041201,20240422,655,49.9807,11.8376,telberg/Oberfranken-Hüttstadl,Bayern
1358,19911111,20240422,1213,50.4283,12.9536,telberg,Sachsen
1392,20100308,20240422,621,49.7316,12.3489,senbürg,Bayern
1411,20061119,20240422,747,50.5309,10.0479,/Rhön,Thüringen
1420,19930304,20240422,100,50.0259,8.5213,kfurt/Main,Hessen
1424,20080623,20240422,121,50.1269,8.6694,kfurt/Main-Westend,Hessen
1435,20020725,20240422,768,50.5921,10.8575,nau-Frauenwald,Thüringen
1441,20150325,20240422,416,50.9263,13.2711,berg,Sachsen
1443,19940426,20240422,237,48.0232,7.8343,burg,Baden-Württemberg
1451,20030515,20240422,2,53.8277,9.2493,burg/Elbe,Niedersachsen
1458,20030225,20240422,492,49.5747,11.8859,hung-Großschönbrunn,Bayern
1468,19910101,20240422,797,48.4538,8.409,denstadt,Baden-Württemberg
1473,20051109,20190301,414,49.1869,11.308,stadt-Michelbach,Bayern
1495,20040825,20240422,52,53.5389,11.7607,enbow,Mecklenburg-Vorpommern
1497,20040914,20240422,74,53.0238,13.7088,drichswalde,Brandenburg
1503,20120901,20240422,6,53.0643,7.902,soythe-Altenoythe,Niedersachsen
1526,20040913,20240422,245,50.5668,9.6532,a-Horas,Hessen
1544,19911101,20240422,47,52.5129,11.3942,elegen,Sachsen-Anhalt
1550,19910101,20240422,719,47.483,11.0621,isch-Partenkirchen,Bayern
1561,20040914,20240422,414,50.4034,9.2076,rn-Schönhausen,Hessen
1573,20050922,20240422,281,50.7133,9.9539,a,Thüringen
1578,20020122,20240422,376,48.6894,11.6353,enfeld-Engelbrechtsmünster,Bayern
1580,19970101,20240422,111,49.9859,7.9548,enheim,Hessen
1584,20090423,20240422,673,47.9242,8.6474,ingen,Baden-Württemberg
1587,20031210,20240422,536,48.9481,11.4289,elsee,Bayern
1590,20021022,20240422,37,51.4942,6.2463,ern-Walbeck,Nordrhein-Westfalen
1595,20120907,20240422,91,51.5762,7.0652,enkirchen-Buer,Nordrhein-Westfalen
1598,20051003,20240422,328,50.248,7.7456,bachheim,Rheinland-Pfalz
1602,20030319,20240422,177,48.433,7.993,bach,Baden-Württemberg
1605,19911105,20240422,35,52.3875,12.1602,hin,Sachsen-Anhalt
1607,20020203,20240422,344,49.1934,11.0267,gensgmünd,Bayern
1612,19911106,20240422,311,50.8812,12.1289,-Leumnitz,Thüringen
1639,19961014,20240422,203,50.6017,8.6439,en/Wettenberg,Hessen
1645,20020819,20240422,327,50.9656,9.05,erberg-Moischeid,Hessen
1650,20020613,20240422,250,49.4648,7.4111,chtal,Rheinland-Pfalz
1669,20060917,20240422,43,53.808,12.9607,entin-Wolkwitz,Mecklenburg-Vorpommern
1684,19911101,20240422,239,51.1621,14.9506,itz,Sachsen
1689,20021009,20240422,441,49.7656,11.3062,einstein,Bayern
1691,19931109,20240422,167,51.5002,9.9507,ingen,Niedersachsen
1694,19911106,20240422,59,53.6058,12.1034,berg,Mecklenburg-Vorpommern
1711,20060101,20240422,437,47.7344,8.7932,madingen,Baden-Württemberg
1717,20050712,20240422,28,53.2651,11.5042,ow (Kläranlage Fahlenkamp),Mecklenburg-Vorpommern
1721,20060821,20240422,506,49.664,11.2239,enberg-Kasberg,Bayern
1735,20041212,20240422,628,48.7894,13.629,net-Rehberg,Bayern
1736,20011101,20240422,26,53.5731,10.6797,bek,Schleswig-Holstein
1744,20040928,20240422,139,51.5718,14.4763,mberg-Graustein,Brandenburg
1750,20020722,20240422,190,51.4511,9.4138,enstein,Hessen
1757,19911031,20240422,2,54.0967,13.4056,fswald,Mecklenburg-Vorpommern
1759,20001025,20240422,12,54.2437,13.9102,fswalder Oie,Mecklenburg-Vorpommern
1766,19950704,20240422,48,52.1344,7.6969,ter/Osnabrück,Nordrhein-Westfalen
